hobby_id,hobby_name,category,physical_demand,score,user_id,rank
17,Music,creative,low,5,1,1
5,Painting,creative,low,5,1,2
6,Knitting,creative,low,5,1,3
16,Tai Chi,fitness,low,5,1,4
20,Card Games,social,low,4,1,5
20,Card Games,social,low,7,2,1
14,Volunteering,social,low,7,2,2
13,Book Club,social,low,7,2,3
18,Travel,social,medium,5,2,4
12,Dancing,social,medium,5,2,5
11,Swimming,fitness,medium,5,3,1
10,Yoga,fitness,medium,5,3,2
16,Tai Chi,fitness,low,4,3,3
19,Pottery,creative,medium,2,3,4
18,Travel,social,medium,2,3,5
19,Pottery,creative,medium,5,4,1
15,Woodworking,creative,medium,5,4,2
18,Travel,social,medium,4,4,3
5,Painting,creative,low,4,4,4
6,Knitting,creative,low,4,4,5
11,Swimming,fitness,medium,5,5,1
19,Pottery,creative,medium,5,5,2
15,Woodworking,creative,medium,5,5,3
10,Yoga,fitness,medium,5,5,4
5,Painting,creative,low,4,5,5
8,Reading,indoor,low,5,6,1
9,Chess,indoor,low,5,6,2
7,Cooking,indoor,low,5,6,3
20,Card Games,social,low,4,6,4
14,Volunteering,social,low,4,6,5
11,Swimming,fitness,medium,5,7,1
10,Yoga,fitness,medium,5,7,2
16,Tai Chi,fitness,low,4,7,3
7,Cooking,indoor,low,4,7,4
8,Reading,indoor,low,4,7,5
3,Hiking,outdoor,high,5,8,1
1,Gardening,outdoor,low,4,8,2
4,Photography,outdoor,low,4,8,3
5,Painting,creative,low,4,8,4
6,Knitting,creative,low,4,8,5
5,Painting,creative,low,5,9,1
6,Knitting,creative,low,5,9,2
17,Music,creative,low,5,9,3
1,Gardening,outdoor,low,3,9,4
19,Pottery,creative,medium,3,9,5
20,Card Games,social,low,5,10,1
16,Tai Chi,fitness,low,5,10,2
14,Volunteering,social,low,5,10,3
13,Book Club,social,low,5,10,4
10,Yoga,fitness,medium,3,10,5
17,Music,creative,low,5,11,1
5,Painting,creative,low,5,11,2
6,Knitting,creative,low,5,11,3
20,Card Games,social,low,4,11,4
14,Volunteering,social,low,4,11,5
1,Gardening,outdoor,low,5,12,1
4,Photography,outdoor,low,5,12,2
19,Pottery,creative,medium,5,12,3
15,Woodworking,creative,medium,5,12,4
2,Bird Watching,outdoor,low,5,12,5
20,Card Games,social,low,7,13,1
14,Volunteering,social,low,7,13,2
13,Book Club,social,low,7,13,3
18,Travel,social,medium,5,13,4
16,Tai Chi,fitness,low,5,13,5
12,Dancing,social,medium,4,14,1
18,Travel,social,medium,4,14,2
7,Cooking,indoor,low,4,14,3
8,Reading,indoor,low,4,14,4
9,Chess,indoor,low,4,14,5
20,Card Games,social,low,4,15,1
14,Volunteering,social,low,4,15,2
13,Book Club,social,low,4,15,3
