hobby_id,hobby_name,category,physical_demand,score,user_id,rank,cluster,segment_name,age,city,physical_ability
17,Music,creative,low,5,1,1,3,High Engagers,85,Saline,low
5,Painting,creative,low,5,1,2,3,High Engagers,85,Saline,low
6,Knitting,creative,low,5,1,3,3,High Engagers,85,Saline,low
16,Tai Chi,fitness,low,5,1,4,3,High Engagers,85,Saline,low
20,Card Games,social,low,4,1,5,3,High Engagers,85,Saline,low
20,Card Games,social,low,7,2,1,0,Social Homebodies,85,Canton,low
14,Volunteering,social,low,7,2,2,0,Social Homebodies,85,Canton,low
13,Book Club,social,low,7,2,3,0,Social Homebodies,85,Canton,low
18,Travel,social,medium,5,2,4,0,Social Homebodies,85,Canton,low
12,Dancing,social,medium,5,2,5,0,Social Homebodies,85,Canton,low
11,Swimming,fitness,medium,5,3,1,2,Active Independents,68,Ypsilanti,medium
10,Yoga,fitness,medium,5,3,2,2,Active Independents,68,Ypsilanti,medium
16,Tai Chi,fitness,low,4,3,3,2,Active Independents,68,Ypsilanti,medium
19,Pottery,creative,medium,2,3,4,2,Active Independents,68,Ypsilanti,medium
18,Travel,social,medium,2,3,5,2,Active Independents,68,Ypsilanti,medium
19,Pottery,creative,medium,5,4,1,0,Social Homebodies,82,Canton,medium
15,Woodworking,creative,medium,5,4,2,0,Social Homebodies,82,Canton,medium
18,Travel,social,medium,4,4,3,0,Social Homebodies,82,Canton,medium
5,Painting,creative,low,4,4,4,0,Social Homebodies,82,Canton,medium
6,Knitting,creative,low,4,4,5,0,Social Homebodies,82,Canton,medium
11,Swimming,fitness,medium,5,5,1,2,Active Independents,62,Ypsilanti,medium
19,Pottery,creative,medium,5,5,2,2,Active Independents,62,Ypsilanti,medium
15,Woodworking,creative,medium,5,5,3,2,Active Independents,62,Ypsilanti,medium
10,Yoga,fitness,medium,5,5,4,2,Active Independents,62,Ypsilanti,medium
5,Painting,creative,low,4,5,5,2,Active Independents,62,Ypsilanti,medium
8,Reading,indoor,low,5,6,1,1,Weekend Explorers,72,Ann Arbor,low
9,Chess,indoor,low,5,6,2,1,Weekend Explorers,72,Ann Arbor,low
7,Cooking,indoor,low,5,6,3,1,Weekend Explorers,72,Ann Arbor,low
20,Card Games,social,low,4,6,4,1,Weekend Explorers,72,Ann Arbor,low
14,Volunteering,social,low,4,6,5,1,Weekend Explorers,72,Ann Arbor,low
11,Swimming,fitness,medium,5,7,1,2,Active Independents,70,Ann Arbor,medium
10,Yoga,fitness,medium,5,7,2,2,Active Independents,70,Ann Arbor,medium
16,Tai Chi,fitness,low,4,7,3,2,Active Independents,70,Ann Arbor,medium
7,Cooking,indoor,low,4,7,4,2,Active Independents,70,Ann Arbor,medium
8,Reading,indoor,low,4,7,5,2,Active Independents,70,Ann Arbor,medium
3,Hiking,outdoor,high,5,8,1,0,Social Homebodies,79,Saline,high
1,Gardening,outdoor,low,4,8,2,0,Social Homebodies,79,Saline,high
4,Photography,outdoor,low,4,8,3,0,Social Homebodies,79,Saline,high
5,Painting,creative,low,4,8,4,0,Social Homebodies,79,Saline,high
6,Knitting,creative,low,4,8,5,0,Social Homebodies,79,Saline,high
5,Painting,creative,low,5,9,1,1,Weekend Explorers,68,Ann Arbor,low
6,Knitting,creative,low,5,9,2,1,Weekend Explorers,68,Ann Arbor,low
17,Music,creative,low,5,9,3,1,Weekend Explorers,68,Ann Arbor,low
1,Gardening,outdoor,low,3,9,4,1,Weekend Explorers,68,Ann Arbor,low
19,Pottery,creative,medium,3,9,5,1,Weekend Explorers,68,Ann Arbor,low
20,Card Games,social,low,5,10,1,1,Weekend Explorers,69,Ann Arbor,low
16,Tai Chi,fitness,low,5,10,2,1,Weekend Explorers,69,Ann Arbor,low
14,Volunteering,social,low,5,10,3,1,Weekend Explorers,69,Ann Arbor,low
13,Book Club,social,low,5,10,4,1,Weekend Explorers,69,Ann Arbor,low
10,Yoga,fitness,medium,3,10,5,1,Weekend Explorers,69,Ann Arbor,low
17,Music,creative,low,5,11,1,1,Weekend Explorers,73,Saline,low
5,Painting,creative,low,5,11,2,1,Weekend Explorers,73,Saline,low
6,Knitting,creative,low,5,11,3,1,Weekend Explorers,73,Saline,low
20,Card Games,social,low,4,11,4,1,Weekend Explorers,73,Saline,low
14,Volunteering,social,low,4,11,5,1,Weekend Explorers,73,Saline,low
1,Gardening,outdoor,low,5,12,1,0,Social Homebodies,82,Ypsilanti,medium
4,Photography,outdoor,low,5,12,2,0,Social Homebodies,82,Ypsilanti,medium
19,Pottery,creative,medium,5,12,3,0,Social Homebodies,82,Ypsilanti,medium
15,Woodworking,creative,medium,5,12,4,0,Social Homebodies,82,Ypsilanti,medium
2,Bird Watching,outdoor,low,5,12,5,0,Social Homebodies,82,Ypsilanti,medium
20,Card Games,social,low,7,13,1,2,Active Independents,70,Canton,low
14,Volunteering,social,low,7,13,2,2,Active Independents,70,Canton,low
13,Book Club,social,low,7,13,3,2,Active Independents,70,Canton,low
18,Travel,social,medium,5,13,4,2,Active Independents,70,Canton,low
16,Tai Chi,fitness,low,5,13,5,2,Active Independents,70,Canton,low
12,Dancing,social,medium,4,14,1,2,Active Independents,63,Saline,medium
18,Travel,social,medium,4,14,2,2,Active Independents,63,Saline,medium
7,Cooking,indoor,low,4,14,3,2,Active Independents,63,Saline,medium
8,Reading,indoor,low,4,14,4,2,Active Independents,63,Saline,medium
9,Chess,indoor,low,4,14,5,2,Active Independents,63,Saline,medium
20,Card Games,social,low,4,15,1,3,High Engagers,84,Saline,low
14,Volunteering,social,low,4,15,2,3,High Engagers,84,Saline,low
13,Book Club,social,low,4,15,3,3,High Engagers,84,Saline,low
2,Bird Watching,outdoor,low,3,15,4,3,High Engagers,84,Saline,low
1,Gardening,outdoor,low,3,15,5,3,High Engagers,84,Saline,low
8,Reading,indoor,low,5,16,1,1,Weekend Explorers,70,Ypsilanti,low
9,Chess,indoor,low,5,16,2,1,Weekend Explorers,70,Ypsilanti,low
